Version,Size,Processes,Runtime
sequential,2048,1,1384
sequential,2896,1,4897
sequential,4096,1,13914
sequential,5793,1,39617
sequential,8192,1,108699
mpi,2048,1,2018
mpi,2048,2,1146
mpi,2048,4,617
mpi,2048,8,397
mpi,2048,16,218
mpi,2896,1,5995
mpi,2896,2,3300
mpi,2896,4,1984
mpi,2896,8,1647
mpi,2896,16,548
mpi,4096,1,16713
mpi,4096,2,9405
mpi,4096,4,5624
mpi,4096,8,4888
mpi,4096,16,2505
mpi,5793,1,47097
mpi,5793,2,25735
mpi,5793,4,15409
mpi,5793,8,13745
mpi,5793,16,7448
mpi,8192,1,129764
mpi,8192,2,70780
mpi,8192,4,42218
mpi,8192,8,37479
mpi,8192,16,20190
fastflow,2048,1,1486
fastflow,2048,2,1134
fastflow,2048,4,649
fastflow,2048,8,361
fastflow,2048,16,266
fastflow,2896,1,5489
fastflow,2896,2,3271
fastflow,2896,4,1824
fastflow,2896,8,1700
fastflow,2896,16,483
fastflow,4096,1,14337
fastflow,4096,2,8439
fastflow,4096,4,5520
fastflow,4096,8,3787
fastflow,4096,16,2926
fastflow,5793,1,39959
fastflow,5793,2,23301
fastflow,5793,4,14355
fastflow,5793,8,11003
fastflow,5793,16,8223
fastflow,8192,1,125840
fastflow,8192,2,63955
fastflow,8192,4,39735
fastflow,8192,8,30625
fastflow,8192,16,23385
